index,Feature,Coefficient,Player
EXERTIONS,ECCENTRIC_MEAN_DECELERATION_FORCE,-0.0020063391707575255,2
DISTANCE,ECCENTRIC_MEAN_DECELERATION_FORCE,0.033011481619588175,2
AAL,P_1_CONCENTRIC_IMPULSE,0.02136649747732503,2
SPEEDMAX,P_1_CONCENTRIC_IMPULSE,0.03394269565773475,2
JUMPS,P_1_CONCENTRIC_IMPULSE,0.01830381118263357,2
PHYSIOLOAD,P_1_CONCENTRIC_IMPULSE,0.029528271869053244,2
EXERTIONS,P_1_CONCENTRIC_IMPULSE,0.007523641636359734,2
DISTANCE,P_1_CONCENTRIC_IMPULSE,0.026388814296204703,2
AAL,ECCENTRIC_BRAKING_RFD,0.04077619970573937,2
SPEEDMAX,ECCENTRIC_BRAKING_RFD,0.06805861951120923,2
JUMPS,ECCENTRIC_BRAKING_RFD,0.015725685585066474,2
PHYSIOLOAD,ECCENTRIC_BRAKING_RFD,0.04328304106775427,2
EXERTIONS,ECCENTRIC_BRAKING_RFD,-0.023275016579217354,2
DISTANCE,ECCENTRIC_BRAKING_RFD,0.038681171309721055,2
AAL,ECCENTRIC_BRAKING_RFD_BM,0.0218046006665223,2
SPEEDMAX,ECCENTRIC_BRAKING_RFD_BM,0.03593991441508695,2
JUMPS,ECCENTRIC_BRAKING_RFD_BM,0.008129836200462696,2
PHYSIOLOAD,ECCENTRIC_BRAKING_RFD_BM,0.023318317065982388,2
EXERTIONS,ECCENTRIC_BRAKING_RFD_BM,-0.015304465639969532,2
DISTANCE,ECCENTRIC_BRAKING_RFD_BM,0.020839104571756712,2
AAL,ECCENTRIC_DECELERATION_RFD,0.014082404430318987,2
SPEEDMAX,ECCENTRIC_DECELERATION_RFD,0.03371385376170724,2
JUMPS,ECCENTRIC_DECELERATION_RFD,0.0032830623417008345,2
PHYSIOLOAD,ECCENTRIC_DECELERATION_RFD,0.011420073785568384,2
EXERTIONS,ECCENTRIC_DECELERATION_RFD,-0.0059173743197472395,2
DISTANCE,ECCENTRIC_DECELERATION_RFD,0.010205887226982768,2
AAL,CONCENTRIC_PEAK_FORCE,0.06047606024698022,2
